gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,hasFamily_Yes,SeniorCitizen,AvgMonthlyCost,Churn
0,0,0,1,0,0,0,1,0,1,0,1,0,80.43,No
0,0,1,1,0,0,0,1,0,1,0,0,1,91.21,Yes
0,1,0,0,0,1,0,0,0,0,0,1,0,45.79,No
1,0,0,0,0,0,0,1,0,0,1,0,0,53.62,No
0,0,0,0,0,0,1,1,0,0,0,0,0,75.96,No
1,0,0,1,0,0,1,0,0,0,0,0,0,80.34,No
1,0,1,1,0,0,0,1,0,1,0,1,0,95.59,No
1,0,1,0,0,1,0,1,0,0,0,1,0,75.63,No
1,0,1,1,0,1,0,1,1,0,0,1,1,108.53,No
1,0,1,1,0,1,0,1,0,1,0,1,1,119.12,No
1,0,0,0,1,1,0,1,0,1,0,1,0,19.12,No
1,0,0,0,1,0,1,0,0,0,1,1,0,18.72,No
1,0,0,0,1,0,0,0,0,0,0,0,0,20.2,No
0,0,0,1,0,0,0,0,1,0,0,0,0,74.29,No
0,0,1,0,0,0,0,1,0,1,0,1,0,75.5,No
1,0,0,0,0,0,0,0,0,1,0,1,0,55.64,No
0,0,0,1,0,0,0,0,0,1,0,0,0,75.3,Yes
1,0,0,0,0,0,0,1,0,0,1,0,0,45.7,Yes
0,0,0,0,0,0,1,0,1,0,0,0,0,53.48,Yes
0,0,1,1,0,0,0,1,1,0,0,1,1,91.01,Yes
1,0,1,0,0,1,0,0,0,0,1,1,0,77.38,Yes
0,0,0,1,0,0,0,1,0,0,0,0,0,94.58,Yes
1,0,1,1,0,0,1,1,0,0,1,1,0,111.11,No
1,0,1,0,0,0,0,1,1,0,0,0,0,62.65,Yes
0,0,1,1,0,0,0,1,0,0,1,0,0,100.91,Yes
1,0,1,1,0,1,0,1,0,0,0,0,0,117.04,No
0,0,1,1,0,0,0,1,1,0,0,0,0,93.16,No
1,0,0,0,1,0,0,0,0,0,1,0,0,18.26,No
0,0,0,0,1,0,0,1,0,0,1,0,0,19.6,Yes
1,0,1,1,0,0,0,1,0,1,0,1,0,101.05,Yes
1,0,0,0,0,0,0,1,0,1,0,0,0,51.01,No
0,0,0,0,0,1,0,1,1,0,0,1,0,53.17,No
0,0,0,0,0,1,0,0,0,0,0,0,0,55.97,No
1,1,0,0,0,1,0,1,1,0,0,0,0,35.65,No
1,0,1,1,0,0,0,1,0,1,0,1,0,90.75,Yes
0,0,0,0,0,1,0,0,0,1,0,0,0,56.64,No
1,0,0,0,1,0,0,1,0,0,1,1,0,22.58,No
0,0,0,0,0,0,0,0,0,0,1,1,0,55.2,Yes
1,1,0,0,0,0,0,0,1,0,0,1,0,25.46,No
1,1,0,0,0,0,0,0,0,0,1,0,0,19.23,No
1,0,0,0,0,1,0,0,1,0,0,1,0,70.62,No
1,0,0,1,0,0,0,0,0,1,0,0,0,82.06,No
0,0,1,0,0,0,1,1,1,0,0,1,0,83.02,No
0,0,0,0,0,0,1,1,0,0,0,0,0,60.87,No
1,0,0,0,0,0,0,1,0,0,1,0,0,54.8,Yes
0,0,1,1,0,0,0,1,0,1,0,0,0,87.4,Yes
1,1,0,0,0,0,0,0,0,0,1,1,0,33.7,No
0,0,0,0,1,0,1,0,1,0,0,0,0,21.91,No
1,1,0,0,0,0,0,1,0,1,0,0,0,45.18,Yes
1,0,0,1,0,0,0,0,0,1,0,0,0,74.0,No
0,0,0,0,1,1,0,0,0,0,1,0,0,18.45,No
1,0,1,1,0,0,1,1,0,1,0,1,0,105.76,No
1,0,1,1,0,0,0,0,0,1,0,0,0,110.12,No
0,0,0,0,1,0,1,0,0,0,1,1,0,19.95,No
0,0,0,1,0,0,0,1,1,0,0,0,0,74.3,Yes
0,0,0,1,0,0,0,1,1,0,0,1,0,86.31,Yes
0,0,0,0,1,0,0,0,1,0,0,0,0,20.74,No
1,0,0,0,0,0,1,1,1,0,0,0,0,80.97,No
1,0,0,1,0,0,0,1,0,1,0,1,1,95.62,Yes
1,1,0,0,0,0,0,0,0,1,0,1,1,40.2,Yes
0,0,0,1,0,1,0,0,0,0,0,1,0,92.1,No
1,0,0,1,0,0,0,1,0,0,0,0,0,110.18,No
0,0,1,1,0,0,0,1,1,0,0,0,1,86.38,Yes
0,0,1,1,0,0,0,1,0,1,0,0,1,76.8,Yes
0,0,0,0,1,0,1,1,0,0,1,1,0,20.59,No
1,0,0,1,0,0,0,0,1,0,0,1,0,91.35,Yes
0,0,1,1,0,0,0,1,0,0,0,1,0,104.77,Yes
1,0,1,1,0,0,0,0,0,1,0,1,0,105.93,Yes
0,0,0,0,0,0,1,0,0,1,0,0,0,79.63,No
1,0,0,0,1,1,0,0,1,0,0,0,0,14.15,Yes
0,0,1,1,0,0,0,1,0,0,0,1,1,106.21,Yes
1,1,0,0,0,0,1,1,0,0,0,0,0,62.9,No
0,0,0,0,1,0,0,0,0,0,1,0,0,21.76,No
0,0,0,0,1,0,1,0,0,0,1,1,0,20.59,No
0,0,0,0,0,0,0,0,0,1,0,1,0,58.12,Yes
0,0,0,0,1,0,0,0,0,0,1,0,0,19.33,No
1,0,0,0,0,0,0,1,1,0,0,0,0,44.05,No
1,0,0,1,0,0,0,1,1,0,0,1,0,79.59,Yes
1,0,1,1,0,0,0,1,0,1,0,1,1,98.21,No
0,1,0,0,0,0,1,0,1,0,0,1,0,60.43,No
0,0,0,1,0,0,0,1,0,1,0,0,0,102.49,Yes
0,0,0,0,0,0,0,0,0,1,0,0,0,40.9,No
0,0,0,1,0,0,0,0,0,1,0,0,1,79.44,No
0,0,1,0,1,0,1,1,1,0,0,0,0,29.24,No
0,0,0,1,0,0,0,0,0,0,0,1,0,82.5,Yes
1,0,1,1,0,0,0,1,1,0,0,1,0,111.73,No
1,0,0,1,0,0,0,1,1,0,0,0,0,86.51,No
1,0,1,1,0,0,0,1,0,1,0,0,1,87.02,No
0,0,1,1,0,0,1,1,0,0,0,0,1,107.62,No
0,0,0,1,0,0,0,1,1,0,0,1,0,101.31,Yes
0,0,1,0,0,0,1,0,0,0,0,0,0,88.2,No
0,0,0,0,0,0,0,1,0,1,0,0,0,52.2,Yes
0,0,1,1,0,0,0,1,0,1,0,0,0,91.07,Yes
1,1,0,0,0,0,0,1,0,1,0,0,0,40.61,No
1,0,1,1,0,0,0,1,0,1,0,0,1,88.52,Yes
0,0,1,1,0,0,0,0,0,1,0,0,0,80.79,No
1,0,0,1,0,0,0,1,0,1,0,0,0,69.55,Yes
1,0,1,1,0,0,0,0,0,1,0,0,0,78.89,No
0,0,1,1,0,0,0,1,1,0,0,1,1,85.95,Yes
1,0,1,1,0,1,0,0,1,0,0,0,0,115.82,No
0,1,0,0,0,0,0,0,0,1,0,0,0,24.6,Yes
0,0,0,0,1,0,1,1,0,0,1,1,0,19.91,No
1,0,1,1,0,0,0,1,0,1,0,1,1,77.41,No
1,0,1,0,0,0,0,0,0,0,0,1,0,58.89,No
1,0,0,0,1,0,0,0,0,0,0,1,0,19.9,No
0,0,1,1,0,1,0,1,0,1,0,1,1,105.44,Yes
0,0,0,0,0,0,1,1,1,0,0,1,0,72.36,No
0,0,0,0,1,0,1,0,0,0,1,1,0,20.95,No
1,0,0,1,0,1,0,1,1,0,0,0,0,87.2,No
1,0,0,0,1,1,0,0,0,0,1,1,0,19.0,No
0,0,1,0,0,0,1,1,1,0,0,1,0,82.77,No
0,0,1,1,0,1,0,1,1,0,0,0,0,83.45,No
1,0,1,1,0,0,0,1,0,0,0,1,0,110.73,No
1,0,1,1,0,0,0,1,0,1,0,0,0,74.95,Yes
0,0,1,1,0,0,0,1,0,0,0,1,0,96.05,Yes
1,0,0,0,0,0,0,1,0,1,0,0,0,64.75,No
0,0,1,1,0,0,0,1,0,1,0,0,0,84.6,No
0,0,1,1,0,0,0,1,1,0,0,1,0,97.16,Yes
1,1,0,0,0,1,0,1,0,0,0,1,0,51.93,No
1,0,0,1,0,1,0,0,0,1,0,0,0,98.67,No
1,0,0,1,0,0,0,1,1,0,0,1,0,87.04,Yes
0,0,0,1,0,0,1,1,1,0,0,1,0,69.87,No
0,0,1,0,0,0,0,0,0,0,0,0,1,66.7,No
0,0,0,0,1,0,1,1,0,0,1,1,0,19.98,No
1,0,0,0,1,1,0,1,1,0,0,0,0,20.34,No
0,0,1,1,0,0,0,1,0,1,0,0,0,94.17,Yes
1,0,0,0,0,0,0,1,0,0,0,0,0,69.56,No
0,0,1,1,0,0,0,0,0,1,0,0,0,87.1,Yes
1,0,0,0,1,0,0,1,0,0,1,0,0,20.2,Yes
1,0,0,1,0,0,0,1,0,0,1,1,0,70.65,Yes
0,0,0,1,0,0,0,1,0,1,0,0,1,75.53,No
1,0,0,0,1,1,0,1,0,0,1,0,0,19.77,No
0,0,0,0,1,1,0,0,0,0,1,1,0,15.95,No
1,0,0,0,0,0,1,0,1,0,0,1,0,64.62,No
1,0,0,0,1,0,1,1,1,0,0,1,1,19.26,No
0,0,0,0,1,0,0,0,0,0,1,1,0,15.72,No
1,0,1,0,0,0,1,0,0,0,0,1,0,75.84,No
0,0,1,1,0,1,0,1,1,0,0,0,1,101.14,No
0,0,1,0,0,1,0,1,0,0,0,1,0,53.12,No
0,0,0,1,0,0,0,1,0,0,1,1,0,92.96,Yes
0,0,1,1,0,0,0,1,0,1,0,0,1,98.82,Yes
0,0,1,1,0,0,1,1,0,0,0,1,0,110.34,Yes
0,0,0,1,0,0,0,1,0,0,0,1,0,79.67,No
1,0,0,0,0,0,0,1,0,0,0,0,0,45.57,No
0,0,0,1,0,0,0,1,0,0,0,0,0,103.95,No
1,0,1,1,0,1,0,1,1,0,0,1,0,90.48,No
0,0,1,1,0,1,0,0,0,1,0,0,1,109.63,No
1,0,1,1,0,0,0,1,1,0,0,1,0,108.08,Yes
0,1,0,0,0,0,1,1,1,0,0,1,0,54.6,No
0,0,0,0,0,1,0,0,0,0,0,1,0,59.92,No
0,0,0,0,0,0,0,1,0,0,1,0,0,53.31,No
0,0,0,0,0,0,0,1,0,1,0,0,0,48.6,No
0,0,0,0,1,0,0,0,0,0,1,0,0,18.2,No
0,1,0,0,0,0,0,0,0,0,0,0,0,27.14,No
1,0,0,1,0,0,0,1,0,1,0,0,1,70.11,Yes
1,0,0,0,0,0,0,1,0,0,1,1,0,71.43,No
1,0,0,0,1,0,0,0,0,0,1,0,0,20.2,No
1,0,1,0,0,0,0,1,0,1,0,0,0,69.36,No
0,0,0,0,0,0,0,1,0,0,1,1,0,73.51,No
0,0,0,1,0,0,0,1,0,1,0,1,0,79.54,Yes
0,0,0,1,0,0,1,0,1,0,0,0,0,100.36,No
1,1,0,0,0,0,0,1,0,1,0,1,1,45.14,Yes
1,0,0,0,1,1,0,1,0,0,1,1,0,16.81,No
0,0,1,1,0,0,0,1,0,1,0,1,0,89.57,No
1,0,1,1,0,0,0,1,0,1,0,1,0,102.83,Yes
1,1,0,0,0,0,1,0,1,0,0,0,0,45.57,No
1,0,0,1,0,0,0,1,1,0,0,1,0,83.32,No
1,0,0,0,0,0,0,1,0,0,1,0,0,59.62,No
1,0,0,1,0,1,0,1,0,0,0,1,0,106.53,No
1,1,0,0,0,0,1,0,0,0,0,1,0,59.21,No
0,0,0,1,0,0,0,1,0,1,0,0,0,74.9,Yes
1,0,1,1,0,1,0,1,0,0,0,0,0,103.75,Yes
1,0,1,1,0,0,0,1,1,0,0,0,1,82.25,No
0,0,0,1,0,0,0,1,0,1,0,0,1,73.2,Yes
0,0,0,0,0,1,0,1,0,0,1,1,0,57.44,No
0,0,0,1,0,0,0,1,1,0,0,0,0,100.36,No
0,0,1,1,0,0,0,1,0,1,0,0,0,94.14,No
0,0,0,0,1,1,0,1,1,0,0,0,0,21.69,No
1,0,1,1,0,1,0,1,0,0,1,1,1,99.45,No
0,1,0,0,0,0,0,1,0,1,0,1,0,50.64,Yes
0,0,1,1,0,0,1,1,1,0,0,1,0,95.41,No
0,1,0,0,0,0,1,0,0,0,1,0,1,49.45,No
1,0,0,0,0,0,0,0,0,0,0,0,0,40.17,Yes
1,0,1,1,0,0,0,1,0,1,0,1,0,93.13,No
1,0,0,0,1,1,0,0,1,0,0,1,0,19.22,No
1,0,1,1,0,1,0,0,0,0,0,1,0,88.95,No
1,0,1,1,0,0,1,1,1,0,0,0,0,112.72,Yes
0,0,1,0,0,1,0,1,1,0,0,1,0,83.29,No
0,0,1,1,0,1,0,0,1,0,0,0,0,98.2,No
1,0,1,0,0,1,0,0,1,0,0,0,0,59.68,No
0,0,1,1,0,0,0,0,0,0,0,0,0,91.41,No
0,0,0,1,0,1,0,0,0,0,0,1,1,100.48,No
1,1,0,0,0,0,0,1,0,0,0,1,0,59.71,No
1,0,0,0,1,0,0,0,0,0,1,0,0,20.05,No
1,0,0,0,0,0,1,0,0,0,1,1,0,84.41,No
0,0,1,1,0,0,0,0,0,1,0,0,0,76.0,Yes
0,0,1,1,0,0,0,0,0,1,0,1,0,85.92,Yes
1,0,1,1,0,1,0,0,1,0,0,0,0,104.62,No
0,0,1,0,1,0,1,1,0,0,0,1,0,27.61,No
1,0,1,1,0,1,0,0,1,0,0,1,0,97.6,No
0,0,0,0,0,1,0,1,0,0,1,1,0,60.41,No
1,0,0,0,0,1,0,1,1,0,0,0,1,65.72,Yes
1,0,0,0,1,1,0,0,1,0,0,0,1,19.39,No
1,0,1,1,0,1,0,1,0,1,0,1,1,104.41,No
0,0,0,1,0,0,0,1,0,1,0,0,0,74.74,Yes
0,0,0,0,1,1,0,0,0,0,0,0,0,20.48,No
0,0,0,0,0,1,0,1,1,0,0,1,0,50.65,No
1,1,0,0,0,1,0,1,0,1,0,0,0,39.67,No
1,0,1,1,0,0,0,1,0,1,0,1,1,92.97,Yes
1,0,1,1,0,0,0,1,0,0,0,1,0,73.82,Yes
0,0,1,0,1,1,0,1,0,0,1,0,0,23.47,No
1,0,1,1,0,1,0,0,0,0,0,0,0,94.88,No
1,0,1,1,0,0,0,1,0,1,0,1,1,91.82,No
1,0,0,0,1,0,1,1,0,0,1,1,0,20.37,No
1,0,0,0,1,0,1,0,1,0,0,1,0,24.61,No
1,0,1,1,0,0,0,0,1,0,0,1,0,85.54,Yes
1,0,0,1,0,0,0,1,0,1,0,0,0,70.08,No
0,0,1,0,0,1,0,0,0,0,0,1,1,71.29,No
1,0,1,1,0,0,1,1,0,1,0,1,0,92.43,Yes
0,0,1,0,0,0,0,0,0,1,0,0,0,53.64,No
1,0,0,0,0,1,0,1,1,0,0,1,0,74.15,No
0,1,0,0,0,1,0,1,0,1,0,1,0,55.1,Yes
1,0,0,0,1,0,1,0,0,0,1,1,0,19.83,No
0,0,1,0,1,0,1,1,1,0,0,0,0,27.63,No
1,0,1,1,0,0,0,1,1,0,0,1,1,87.02,Yes
0,1,0,0,0,0,0,1,0,1,0,0,1,54.28,No
1,0,0,0,0,0,0,0,0,1,0,0,0,56.19,No
1,0,0,1,0,0,1,1,0,0,0,1,0,105.49,No
1,0,0,1,0,0,0,1,0,1,0,1,0,93.71,No
1,1,0,0,0,1,0,0,0,0,1,0,0,41.44,No
1,0,0,0,0,0,1,1,1,0,0,1,0,78.73,No
0,0,1,1,0,0,0,1,0,1,0,0,0,79.03,No
0,0,0,1,0,1,0,0,0,0,1,1,0,103.07,No
0,0,1,1,0,0,0,1,0,0,1,0,0,77.73,No
1,1,0,0,0,0,0,0,0,1,0,1,0,30.02,No
0,0,0,1,0,0,0,1,0,1,0,0,0,79.65,Yes
1,0,1,1,0,0,1,1,1,0,0,1,0,107.27,No
1,0,1,1,0,0,0,0,0,1,0,1,0,96.48,Yes
1,0,1,0,0,0,0,1,0,0,0,0,0,50.46,No
1,0,1,1,0,0,0,1,0,1,0,1,1,85.66,Yes
0,1,0,0,0,0,1,1,0,1,0,1,0,49.74,No
0,0,0,0,1,0,0,1,0,0,1,1,1,20.85,Yes
0,0,1,0,1,0,1,1,0,0,0,0,0,26.72,No
0,0,0,1,0,0,0,1,1,0,0,1,0,77.57,No
1,0,1,1,0,1,0,1,0,1,0,0,0,98.8,Yes
0,1,0,0,0,0,0,1,0,1,0,0,1,40.0,Yes
0,0,1,1,0,0,1,0,1,0,0,1,0,110.46,No
1,0,1,1,0,0,0,1,0,0,0,0,0,101.86,Yes
0,0,1,1,0,0,0,1,0,0,0,0,0,78.05,No
0,0,1,1,0,0,0,1,0,1,0,1,0,80.43,No
1,0,1,0,1,0,1,0,0,0,0,1,1,24.74,No
0,0,0,1,0,1,0,1,0,0,0,1,0,81.44,No
0,1,0,0,0,0,1,0,1,0,0,1,0,64.91465504978663,No
1,1,0,0,0,0,1,1,0,0,1,1,0,61.95,No
0,0,1,1,0,0,1,0,0,0,1,1,0,100.66,No
0,0,0,0,1,0,0,0,0,0,1,0,0,18.79,No
1,0,0,1,0,0,0,1,0,1,0,0,0,95.57,Yes
1,0,1,1,0,0,0,1,0,1,0,0,0,74.22,No
0,0,1,1,0,0,0,1,0,1,0,0,1,99.23,Yes
0,0,0,1,0,0,0,0,0,1,0,1,0,83.9,Yes
0,0,0,1,0,0,0,1,1,0,0,0,0,69.83,No
1,1,0,0,0,0,0,0,0,0,1,0,0,36.6,No
0,0,0,0,1,0,1,0,1,0,0,1,0,19.29,No
1,0,1,1,0,0,0,1,0,0,0,1,1,68.79,Yes
0,0,0,0,1,0,0,0,1,0,0,0,0,21.59,No
0,0,1,1,0,0,0,1,1,0,0,1,0,92.24,No
1,0,0,0,0,1,0,1,0,0,0,1,0,77.77,No
0,0,1,0,0,1,0,1,0,0,0,1,0,68.0,No
1,0,0,0,1,1,0,0,0,0,1,0,0,22.33,No
1,0,1,1,0,0,1,0,0,0,0,1,0,105.3,No
0,0,0,0,0,0,0,1,0,0,0,1,0,50.68,No
1,0,1,1,0,0,0,1,0,1,0,0,1,94.68,Yes
0,1,0,0,0,1,0,0,0,0,1,1,0,33.94,No
1,0,0,0,1,0,0,0,0,0,1,1,0,17.21,No
0,0,0,0,0,0,1,1,1,0,0,0,0,73.09,No
1,0,0,1,0,0,0,1,0,0,0,0,1,101.68,No
0,0,0,1,0,1,0,1,0,1,0,1,0,94.68,Yes
0,0,1,1,0,0,1,1,0,1,0,1,0,95.02,No
1,0,1,1,0,0,0,0,1,0,0,1,0,86.55,No
1,0,0,1,0,1,0,1,0,0,0,1,1,105.41,No
1,0,0,0,1,1,0,0,0,0,0,1,0,21.34,No
0,0,0,0,1,0,1,0,0,0,1,1,0,20.59,No
0,0,0,0,0,0,0,1,0,0,1,1,0,53.58,No
1,0,1,1,0,0,0,1,0,1,0,0,0,78.3,Yes
0,1,0,0,0,0,1,0,0,0,0,1,0,38.14,No
1,0,0,0,1,1,0,0,0,0,1,1,0,18.32,No
0,0,0,1,0,0,0,1,1,0,0,0,1,67.57,No
1,0,0,1,0,0,0,1,0,1,0,0,0,82.56,No
1,0,0,1,0,0,0,1,0,0,1,1,0,69.9,Yes
1,0,0,0,1,0,1,0,0,0,1,1,0,20.22,No
1,0,0,0,1,0,0,1,1,0,0,1,0,21.85,No
0,0,0,0,1,0,1,1,0,0,1,1,0,20.02,No
1,0,0,0,0,0,0,0,0,0,1,0,0,53.05,Yes
1,0,0,1,0,0,0,0,0,1,0,0,1,86.29,Yes
1,0,1,1,0,1,0,1,0,1,0,1,0,109.29,Yes
0,0,0,1,0,0,0,1,0,0,0,1,1,73.86,No
1,0,0,0,1,0,1,0,0,0,1,0,0,18.64,Yes
0,1,0,0,0,0,0,1,0,1,0,0,0,29.53,Yes
0,0,0,0,1,0,0,0,0,1,0,0,1,20.54,Yes
0,0,0,0,1,0,1,0,0,0,1,1,0,23.41,No
0,0,0,0,0,1,0,0,0,0,0,0,0,58.66,No
0,0,1,1,0,0,0,1,0,1,0,0,0,93.77,Yes
0,0,1,0,0,1,0,0,0,0,0,1,0,79.44,No
0,0,1,1,0,1,0,1,0,0,0,0,1,98.4,Yes
0,1,0,0,0,0,0,0,0,0,0,1,0,42.26,No
0,0,0,1,0,0,0,1,0,0,1,1,0,90.83,Yes
0,0,1,1,0,0,0,1,1,0,0,0,0,84.85,Yes
1,0,1,0,0,0,1,0,0,1,0,1,0,93.92,No
1,0,0,1,0,0,0,1,0,0,1,1,0,91.02,Yes
1,1,0,0,0,1,0,1,0,1,0,1,0,42.91,Yes
0,0,1,0,0,0,0,1,0,0,1,0,0,64.24,No
0,0,0,0,1,1,0,0,0,0,1,1,0,19.72,No
0,0,1,1,0,1,0,1,0,1,0,1,1,106.15,No
0,0,0,0,0,0,0,1,1,0,0,1,0,54.15,No
1,1,0,0,0,0,0,1,0,0,0,0,0,35.25,Yes
1,0,1,0,1,0,1,0,1,0,0,1,0,23.96,No
1,0,1,1,0,0,0,0,0,1,0,0,0,81.38,No
0,0,1,1,0,0,0,1,0,1,0,0,0,82.1,Yes
0,0,1,1,0,0,0,1,0,1,0,1,0,92.97,No
1,0,1,0,0,1,0,0,1,0,0,0,0,67.74,No
0,1,0,0,0,0,0,1,0,1,0,0,0,31.12,Yes
0,0,0,1,0,0,0,1,1,0,0,0,1,75.54,No
1,1,0,0,0,0,0,1,0,1,0,1,0,25.3,Yes
0,0,0,1,0,0,0,1,0,1,0,0,0,75.0,No
0,0,0,0,1,0,0,1,0,0,0,1,0,21.38,No
0,0,1,1,0,0,0,1,1,0,0,0,0,76.39,No
0,0,1,1,0,0,0,1,1,0,0,0,0,90.23,Yes
0,1,0,0,0,0,0,1,0,0,1,0,1,25.8,Yes
1,1,0,0,0,1,0,0,0,0,1,0,0,37.83,No
0,0,1,1,0,1,0,1,1,0,0,0,0,113.78,Yes
1,0,1,0,0,0,1,1,1,0,0,1,0,91.87,No
1,0,1,1,0,0,0,1,0,1,0,1,0,95.25,Yes
1,0,0,0,1,0,0,1,0,0,0,0,0,19.65,No
0,0,0,0,1,0,1,0,0,0,1,0,0,20.74,No
0,0,0,0,1,0,1,0,0,0,1,1,0,19.27,No
1,1,0,0,0,0,1,0,1,0,0,1,0,48.39,No
0,1,0,0,0,1,0,1,1,0,0,0,0,39.57,No
1,0,0,0,0,0,0,0,0,0,1,0,0,50.9,Yes
1,0,1,0,0,0,1,0,1,0,0,0,0,87.63,No
0,0,0,0,0,0,0,0,1,0,0,0,0,37.83,Yes
1,1,0,0,0,0,0,1,0,1,0,1,0,24.7,No
0,0,0,1,0,0,0,0,0,1,0,0,0,68.65,Yes
1,0,1,1,0,0,0,1,0,0,1,0,0,74.25,Yes
1,0,0,0,0,0,0,1,0,0,0,0,0,80.34,No
0,0,0,1,0,0,0,1,0,1,0,0,0,97.15,Yes
1,0,0,0,1,0,0,0,0,0,1,1,0,19.2,No
0,0,0,0,1,0,1,0,0,0,0,0,0,20.4,No
0,0,1,1,0,0,0,1,0,1,0,0,0,80.66,No
0,0,1,0,0,0,1,0,0,0,0,1,0,90.57,No
1,0,1,0,0,0,1,0,1,0,0,1,0,84.64,No
0,0,1,1,0,0,0,1,1,0,0,1,0,93.48,Yes
1,0,1,1,0,0,0,0,0,1,0,0,0,84.5,Yes
0,1,0,0,0,1,0,0,0,0,0,0,0,43.61,No
1,0,1,1,0,1,0,1,0,0,0,0,0,92.44,No
0,0,1,1,0,1,0,1,0,0,0,1,0,107.89,No
1,0,1,1,0,1,0,1,0,1,0,1,0,104.39,Yes
0,0,1,1,0,0,0,1,1,0,0,1,1,90.66,No
1,0,1,1,0,0,0,0,0,1,0,0,0,96.74,No
1,0,1,1,0,0,0,1,0,1,0,0,0,92.12,Yes
0,1,0,0,0,1,0,0,0,0,1,0,0,28.99,No
0,0,0,0,0,0,0,1,0,0,1,1,0,64.3,Yes
1,0,0,0,0,0,1,1,1,0,0,1,0,56.73,No
1,1,0,0,0,0,0,1,0,0,1,0,0,25.89,No
0,0,0,1,0,1,0,0,1,0,0,1,1,87.76,No
1,0,1,0,0,0,1,1,1,0,0,0,0,72.7,No
1,0,1,1,0,0,0,1,0,0,0,0,1,78.83,No
1,0,0,0,0,0,1,1,1,0,0,1,0,80.0,No
0,0,0,0,1,1,0,1,0,0,1,0,0,20.66,No
0,0,0,0,1,0,0,1,0,0,1,0,0,20.57,No
1,0,1,0,0,0,0,0,0,0,0,0,0,65.36,No
1,0,1,1,0,0,0,0,0,0,1,1,0,91.34,No
1,0,0,0,1,0,1,0,1,0,0,1,0,18.33,No
0,0,0,1,0,0,0,1,0,1,0,0,0,106.91,No
0,0,1,0,1,0,1,1,0,1,0,1,0,24.89,No
1,0,1,1,0,1,0,1,0,0,0,1,1,105.31,No
0,0,1,1,0,1,0,1,0,0,0,1,0,95.87,No
1,0,1,1,0,0,0,1,0,0,0,0,0,79.78,No
0,0,0,0,1,0,1,0,1,0,0,1,0,19.15,No
1,0,0,0,0,0,0,0,0,0,1,1,0,53.13,No
1,0,0,1,0,0,0,1,0,1,0,0,1,79.47,No
0,0,1,1,0,0,0,1,0,1,0,0,0,80.41,Yes
0,1,0,0,0,0,1,0,0,0,1,1,0,56.34,No
0,0,1,0,1,0,1,0,0,0,0,1,0,23.47,No
0,0,0,1,0,1,0,0,1,0,0,1,0,100.8,No
1,0,0,0,1,0,1,0,0,0,1,1,0,20.0,No
0,0,1,0,1,0,1,0,0,0,1,0,0,25.08,No
0,0,0,0,1,1,0,1,1,0,0,1,0,21.1,No
0,0,1,0,0,0,0,1,0,1,0,1,0,47.41,No
1,0,0,0,0,0,0,1,0,0,1,0,0,44.3,No
